TITLE,text
IBM,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[
IBM,Layin n bed with a headache  ughhhh...waitin on your call...
IBM,Funeral ceremony...gloomy friday...
IBM,wants to hang out with friends SOON!
IBM,@dannycastillo We want to trade with someone who has Houston tickets but no one will.
IBM,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends
Pride and Prejudice,PRIDE AND PREJUDICE
Pride and Prejudice,
Pride and Prejudice,By Jane Austen
Pride and Prejudice,
Pride and Prejudice,
Pride and Prejudice,
Pride and Prejudice,Chapter 1
Pride and Prejudice,
Pride and Prejudice,
Pride and Prejudice,"It is a truth universally acknowledged, that a single man in possession"
Pride and Prejudice,"of a good fortune, must be in want of a wife."
Pride and Prejudice,
Pride and Prejudice,However little known the feelings or views of such a man may be on his
Pride and Prejudice,"first entering a neighbourhood, this truth is so well fixed in the minds"
Pride and Prejudice,"of the surrounding families, that he is considered the rightful property"
Pride and Prejudice,of some one or other of their daughters.
